"Datum","Vtlaceni","Tezba","GIP","Tlak","Zfaktor","pz","t"
2006-01-01,0,0,47761973,6.89,0.885569,7.78030847963287,24
2006-01-02,0,0,47761973,6.92,0.885165,7.81775149265956,48
2006-01-03,0,0,47761973,6.93,0.88503,7.83024304260872,72
2006-01-04,0,0,47761973,6.93,0.88503,7.83024304260872,96
2006-01-05,0,0,47761973,6.94,0.884896,7.84272954109862,120
2006-01-06,0,0,47761973,6.95,0.884761,7.85522870018005,144
2006-01-07,0,0,47761973,6.95,0.884761,7.85522870018005,168
2006-01-08,1988611,0,49750584,6.95,0.884761,7.85522870018005,192
2006-01-09,1389822,0,51140406,7.23,0.881052,8.20609907247245,216
2006-01-10,1218974,0,52359380,7.41,0.87872,8.43272032046613,240
2006-01-11,2869359,0,55228739,7.58,0.876556,8.64747945368008,264
2006-01-12,3043588,0,58272327,7.96,0.871858,9.12992712115964,288
2006-01-13,2900382,0,61172709,8.35,0.867242,9.62822372532696,312
2006-01-14,2885576,0,64058285,8.72,0.86306,10.1035849187774,336
2006-01-15,2909107,0,66967392,9.09,0.859075,10.5811483281436,360
2006-01-16,2924989,0,69892381,9.46,0.855292,11.0605500811419,384
2006-01-17,1502644,0,71395025,9.83,0.851712,11.5414600240457,408
2006-01-18,0,0,71395025,9.99,0.850228,11.7497894682368,432
2006-01-19,1534438,0,72929463,9.96,0.850504,11.7107033006312,456
2006-01-20,294209,0,73223672,10.18,0.848517,11.9974025269971,480
2006-01-21,0,0,73223672,10.19,0.848428,12.0104475571292,504
2006-01-22,0,0,73223672,10.17,0.848606,11.9843602331353,528
2006-01-23,0,0,73223672,10.17,0.848606,11.9843602331353,552
2006-01-24,0,0,73223672,10.16,0.848694,11.9713347802624,576
2006-01-25,0,0,73223672,10.159,0.848703,11.9700295627563,600
2006-01-26,0,0,73223672,10.159,0.848703,11.9700295627563,624
2006-01-27,0,0,73223672,10.152,0.848766,11.9608938152565,648
2006-01-28,0,0,73223672,10.152,0.848766,11.9608938152565,672
2006-01-29,0,0,73223672,10.149,0.848792,11.9569929971065,696
2006-01-30,0,0,73223672,10.149,0.848792,11.9569929971065,720
2006-01-31,0,0,73223672,10.146,0.848819,11.9530783358996,744
2006-02-01,0,0,73223672,10.146,0.848819,11.9530783358996,768
2006-02-02,0,0,73223672,10.146,0.848819,11.9530783358996,792
2006-02-03,0,0,73223672,10.142,0.848855,11.9478591750063,816
2006-02-04,0,0,73223672,10.143,0.848846,11.949163923727,840
2006-02-05,0,0,73223672,10.142,0.848855,11.9478591750063,864
2006-02-06,1156513,0,74380185,10.141,0.848864,11.9465544539526,888
2006-02-07,0,0,74380185,10.3,0.847464,12.1539086026073,912
2006-02-08,0,0,74380185,10.288,0.847568,12.1382591131331,936
2006-02-09,0,0,74380185,10.283,0.847612,12.1317300840479,960
2006-02-10,0,0,74380185,10.281,0.847629,12.1291272478879,984
2006-02-11,0,0,74380185,10.278,0.847655,12.1252160371849,1008
2006-02-12,0,0,74380185,10.281,0.847629,12.1291272478879,1032
2006-02-13,0,0,74380185,10.279,0.847647,12.1265102100285,1056
2006-02-14,0,0,74380185,10.278,0.847655,12.1252160371849,1080
2006-02-15,0,0,74380185,10.278,0.847655,12.1252160371849,1104
2006-02-16,0,0,74380185,10.278,0.847655,12.1252160371849,1128
2006-02-17,0,0,74380185,10.275,0.847682,12.1212907670565,1152
2006-02-18,0,0,74380185,10.274,0.84769,12.1199966969057,1176
2006-02-19,0,0,74380185,10.275,0.847682,12.1212907670565,1200
2006-02-20,0,0,74380185,10.275,0.847682,12.1212907670565,1224
2006-02-21,0,1726411,72653774,10.277,0.847664,12.1239075860247,1248
2006-02-22,0,1938747,70715027,10.03,0.849864,11.8018883021283,1272
2006-02-23,0,0,70715027,9.793,0.852061,11.4933085776723,1296
2006-02-24,0,1052271,69662756,9.808,0.851919,11.5128316189685,1320
2006-02-25,0,0,69662756,9.672,0.853216,11.3359336908825,1344
2006-02-26,0,0,69662756,9.682,0.853119,11.3489442856155,1368
2006-02-27,2855749,0,72518505,9.687,0.853071,11.3554440368973,1392
2006-02-28,1304207,0,73822712,10.086,0.849357,11.8748653393096,1416
2006-03-01,19243,810587,73031368,10.243,0.847961,12.0795649799932,1440
2006-03-02,0,1624262,71407106,10.112,0.849123,11.9087576240427,1464
2006-03-03,0,2574020,68833086,9.883,0.851216,11.6104490517096,1488
2006-03-04,0,1924791,66908295,9.535,0.85455,11.1579193727693,1512
2006-03-05,0,431441,66476854,9.31,0.856801,10.8660003898221,1536
2006-03-06,0,0,66476854,9.277,0.857138,10.823227998292,1560
2006-03-07,0,2974688,63502166,9.291,0.856995,10.8413701363485,1584
